distance,basis,orientation,rounds,decoder,model,shots,ler,ler_per_cycle,decode_seconds,note
5,Z,q4_7,1,mwpm,-,50000,0.00126,0.0012599999999999834,0.008361986001546029,
5,Z,q4_7,1,mwpm-rl,-,50000,0.00132,0.0013199999999999878,0.009157013999356423,
5,Z,q4_7,10,mwpm,-,50000,0.04352,0.004532492062410964,0.23907379600132117,
5,Z,q4_7,10,mwpm-rl,-,50000,0.04174,0.004339627441668659,0.24126554599934025,
5,Z,q4_7,13,mwpm,-,50000,0.05726,0.004656085645355745,0.3140281040032278,
5,Z,q4_7,13,mwpm-rl,-,50000,0.05432,0.004403833643159494,0.3163558960004593,
5,Z,q4_7,30,mwpm,-,50000,0.13176,0.005071986299706066,0.7969398780005577,
5,Z,q4_7,30,mwpm-rl,-,50000,0.1264,0.004833525234119951,0.8201965230000496,
5,Z,q4_7,50,mwpm,-,50000,0.1898,0.0047511906340778065,1.28189091600143,
5,Z,q4_7,50,mwpm-rl,-,50000,0.18524,0.004606624309848872,1.3315670569973008,
5,Z,q4_7,70,mwpm,-,50000,0.25878,0.005179406454896618,1.909632883998711,
5,Z,q4_7,70,mwpm-rl,-,50000,0.25274,0.0050045552101640745,1.9905468219985778,
5,Z,q4_7,90,mwpm,-,50000,0.35536,0.00684362303492142,2.8856417699971644,
5,Z,q4_7,90,mwpm-rl,-,50000,0.34286,0.00638922100684175,2.9270476889978454,
5,Z,q4_7,110,mwpm,-,50000,0.34374,0.005258906672475916,3.1705935880017933,
5,Z,q4_7,110,mwpm-rl,-,50000,0.3378,0.005091076178166065,3.2946458810001786,
5,Z,q4_7,130,mwpm,-,50000,0.3828,0.005548698489783843,3.762386604998028,
5,Z,q4_7,130,mwpm-rl,-,50000,0.37488,0.005299921598097668,3.870324055002129,
5,Z,q4_7,150,mwpm,-,50000,0.39198,0.005081639640171665,4.309529679998377,
5,Z,q4_7,150,mwpm-rl,-,50000,0.38834,0.004972276519372765,4.45442726300098,
5,Z,q4_7,170,mwpm,-,50000,0.41154,0.005068423286933188,4.983180881998123,
5,Z,q4_7,170,mwpm-rl,-,50000,0.40558,0.004878558950617173,5.1065932720011915,
5,Z,q4_7,190,mwpm,-,50000,0.43964,0.005533056132203229,5.775999205001426,
5,Z,q4_7,190,mwpm-rl,-,50000,0.43256,0.00524432892484028,5.938185978000547,
5,Z,q4_7,210,mwpm,-,50000,0.4368,0.004900361247834717,6.122955933002231,
5,Z,q4_7,210,mwpm-rl,-,50000,0.4363,0.00488178225836744,6.265261806001945,
5,Z,q4_7,230,mwpm,-,50000,0.44558,0.004798298324418804,6.501055357999576,
5,Z,q4_7,230,mwpm-rl,-,50000,0.44286,0.004693277163876186,6.669447770000261,
5,Z,q4_7,250,mwpm,-,50000,0.45668,0.004868133670315966,7.13498015499863,
5,Z,q4_7,250,mwpm-rl,-,50000,0.4509,0.004620021130715801,7.2941683559984085,
5,Z,q6_5,1,mwpm,-,50000,0.00106,0.0010600000000000054,0.00847489900115761,
5,Z,q6_5,1,mwpm-rl,-,50000,0.0011,0.0010999999999999899,0.008893842998077162,
5,Z,q6_5,10,mwpm,-,50000,0.0446,0.0046498412284620705,0.24232235200179275,
5,Z,q6_5,10,mwpm-rl,-,50000,0.04232,0.004402396804510489,0.241480964999937,
5,Z,q6_5,13,mwpm,-,50000,0.05926,0.004828570856899417,0.31992402400283027,
5,Z,q6_5,13,mwpm-rl,-,50000,0.05674,0.004611357308103858,0.3195091199995659,
5,Z,q6_5,30,mwpm,-,50000,0.16386,0.006574400572359529,0.8929462199994305,
