distance,basis,orientation,rounds,decoder,model,shots,ler,ler_per_cycle,decode_seconds,note
5,Z,q4_7,1,ising,accurate,50000,nan,nan,0.0,skipped: rounds<2
5,Z,q4_7,10,ising,accurate,50000,0.4894,0.15990238182125932,1.0051605320186354,"R=13,rot=XV"
5,Z,q4_7,13,ising,accurate,50000,0.49768,0.16927167797242948,1.018351299018832,"R=13,rot=XV"
5,Z,q4_7,30,ising,accurate,50000,0.50026,0.5,2.793160583009012,"R=13,rot=XV"
5,Z,q4_7,50,ising,accurate,50000,0.49966,0.06786426372769311,4.4780712430074345,"R=13,rot=XV"
5,Z,q4_7,70,ising,accurate,50000,0.49736,0.03608736262690426,6.467829498986248,"R=13,rot=XV"
5,Z,q4_7,90,ising,accurate,50000,0.5016,0.5,13.49996028500027,"R=13,rot=XV"
5,Z,q4_7,110,ising,accurate,50000,0.5034,0.5,15.255537282006117,"R=13,rot=XV"
5,Z,q4_7,130,ising,accurate,50000,0.50018,0.5,21.112939018988982,"R=13,rot=XV"
5,Z,q4_7,150,ising,accurate,50000,0.4993,0.021431409806884516,25.019706666993443,"R=13,rot=XV"
5,Z,q4_7,170,ising,accurate,50000,0.49812,0.016154837381149145,29.306179937993875,"R=13,rot=XV"
5,Z,q4_7,190,ising,accurate,50000,0.50118,0.5,31.023486205987865,"R=13,rot=XV"
5,Z,q4_7,210,ising,accurate,50000,0.4993,0.015403650948824288,37.8886022590159,"R=13,rot=XV"
5,Z,q4_7,230,ising,accurate,50000,0.50316,0.5,42.77013792897924,"R=13,rot=XV"
5,Z,q4_7,250,ising,accurate,50000,0.49956,0.013875023652745622,45.0841002399975,"R=13,rot=XV"
5,Z,q6_5,1,ising,accurate,50000,nan,nan,0.0,skipped: rounds<2
5,Z,q6_5,10,ising,accurate,50000,0.49166,0.16796060875154922,0.7830651310214307,"R=13,rot=XV"
5,Z,q6_5,13,ising,accurate,50000,0.4969,0.16181528060992406,1.0228473550232593,"R=13,rot=XV"
5,Z,q6_5,30,ising,accurate,50000,0.5025,0.5,2.454629790998297,"R=13,rot=XV"
5,Z,q6_5,50,ising,accurate,50000,0.49956,0.06563016508189135,4.081502779998118,"R=13,rot=XV"
5,Z,q6_5,70,ising,accurate,50000,0.4993,0.044801937519925394,5.787093544990057,"R=13,rot=XV"
5,Z,q6_5,90,ising,accurate,50000,0.49834,0.030725350328177192,18.848026132996893,"R=13,rot=XV"
5,Z,q6_5,110,ising,accurate,50000,0.49822,0.02498157116029981,21.30003739800304,"R=13,rot=XV"
5,Z,q6_5,130,ising,accurate,50000,0.50072,0.5,26.12851929399767,"R=13,rot=XV"
