distance,basis,orientation,rounds,decoder,model,shots,ler,ler_per_cycle,decode_seconds,note
3,X,q10_7,1,ising,fast,50000,nan,nan,0.0,skipped: rounds<2
3,X,q10_7,10,ising,fast,50000,0.37826,0.06587346327191879,0.8991622890171129,"R=9,rot=XV"
3,X,q10_7,13,ising,fast,50000,0.41936,0.06547510898068493,0.19685991000733338,"R=9,rot=XV"
3,X,q10_7,30,ising,fast,50000,0.49522,0.07179480281828637,0.45513821800705045,"R=9,rot=XV"
3,X,q10_7,50,ising,fast,50000,0.4932,0.04118164605362279,0.7496107579790987,"R=9,rot=XV"
3,X,q10_7,70,ising,fast,50000,0.49878,0.041175075458622756,1.2662491149967536,"R=9,rot=XV"
3,X,q10_7,90,ising,fast,50000,0.50028,0.5,1.7094676079868805,"R=9,rot=XV"
3,X,q10_7,110,ising,fast,50000,0.4943,0.019928965768500728,2.1791363109950908,"R=9,rot=XV"
3,X,q10_7,130,ising,fast,50000,0.5027,0.5,2.3649383849988226,"R=9,rot=XV"
3,X,q10_7,150,ising,fast,50000,0.49898,0.02022876560628012,3.0221974209998734,"R=9,rot=XV"
3,X,q10_7,170,ising,fast,50000,0.50042,0.5,3.194805566017749,"R=9,rot=XV"
3,X,q10_7,190,ising,fast,50000,0.4993,0.01699722537599052,3.565656285005389,"R=9,rot=XV"
3,X,q10_7,210,ising,fast,50000,0.49878,0.014120021600261101,3.992152705992339,"R=9,rot=XV"
3,X,q10_7,230,ising,fast,50000,0.5022,0.5,3.620714922028128,"R=9,rot=XV"
3,X,q10_7,250,ising,fast,50000,0.5043,0.5,3.9409538350009825,"R=9,rot=XV"
3,X,q2_7,1,ising,fast,50000,nan,nan,0.0,skipped: rounds<2
3,X,q2_7,10,ising,fast,50000,0.354,0.05791244497581871,0.14915330600342713,"R=9,rot=XV"
3,X,q2_7,13,ising,fast,50000,0.40332,0.05936891660327792,0.1929820159857627,"R=9,rot=XV"
3,X,q2_7,30,ising,fast,50000,0.48842,0.05897694887172772,0.4504043040215038,"R=9,rot=XV"
3,X,q2_7,50,ising,fast,50000,0.49738,0.04985064720057153,0.7558099430170842,"R=9,rot=XV"
3,X,q2_7,70,ising,fast,50000,0.4982,0.03861864509877472,1.0733186620054767,"R=9,rot=XV"
3,X,q2_7,90,ising,fast,50000,0.49958,0.03783683388864617,1.4216081110062078,"R=9,rot=XV"
3,X,q2_7,110,ising,fast,50000,0.50186,0.5,1.736924844008172,"R=9,rot=XV"
3,X,q2_7,130,ising,fast,50000,0.50638,0.5,2.043398456997238,"R=9,rot=XV"
3,X,q2_7,150,ising,fast,50000,0.4988,0.019708671190415528,2.347679734986741,"R=9,rot=XV"
3,X,q2_7,170,ising,fast,50000,0.50078,0.5,2.677746056986507,"R=9,rot=XV"
3,X,q2_7,190,ising,fast,50000,0.49828,0.014706446338851431,3.0051501079869922,"R=9,rot=XV"
3,X,q2_7,210,ising,fast,50000,0.50102,0.5,3.363663933996577,"R=9,rot=XV"
