distance,basis,orientation,rounds,decoder,model,shots,ler,ler_per_cycle,decode_seconds,note
3,Z,q10_7,1,ising,fast,50000,nan,nan,0.0,skipped: rounds<2
3,Z,q10_7,10,ising,fast,50000,0.37096,0.06333796003905523,0.3923504019912798,"R=9,rot=XV"
3,Z,q10_7,13,ising,fast,50000,0.41004,0.061803985745939316,0.19653454300714657,"R=9,rot=XV"
3,Z,q10_7,30,ising,fast,50000,0.49,0.06112820505468275,0.45356516100582667,"R=9,rot=XV"
3,Z,q10_7,50,ising,fast,50000,0.4987,0.056116020104924835,0.7573602280172054,"R=9,rot=XV"
3,Z,q10_7,70,ising,fast,50000,0.50174,0.5,1.2649414740153588,"R=9,rot=XV"
3,Z,q10_7,90,ising,fast,50000,0.49974,0.040292962151038614,1.7299851200077683,"R=9,rot=XV"
3,Z,q10_7,110,ising,fast,50000,0.50144,0.5,2.20818602500367,"R=9,rot=XV"
3,Z,q10_7,130,ising,fast,50000,0.5022,0.5,2.3765421779826283,"R=9,rot=XV"
3,Z,q10_7,150,ising,fast,50000,0.5007,0.5,3.0635953689925373,"R=9,rot=XV"
3,Z,q10_7,170,ising,fast,50000,0.50026,0.5,3.2220784969977103,"R=9,rot=XV"
3,Z,q10_7,190,ising,fast,50000,0.49582,0.012433062514112803,3.5634312860202044,"R=9,rot=XV"
3,Z,q10_7,210,ising,fast,50000,0.498,0.012975014163911835,4.011709697981132,"R=9,rot=XV"
3,Z,q10_7,230,ising,fast,50000,0.4971,0.011071021674278536,3.6530953889887314,"R=9,rot=XV"
3,Z,q10_7,250,ising,fast,50000,0.49878,0.011887911287299269,3.9296479930053465,"R=9,rot=XV"
3,Z,q2_7,1,ising,fast,50000,nan,nan,0.0,skipped: rounds<2
3,Z,q2_7,10,ising,fast,50000,0.33488,0.05243824114402884,0.1492083489720244,"R=9,rot=XV"
3,Z,q2_7,13,ising,fast,50000,0.38086,0.05223136904362713,0.19209733000025153,"R=9,rot=XV"
3,Z,q2_7,30,ising,fast,50000,0.4834,0.05365095785350116,0.44900500698713586,"R=9,rot=XV"
3,Z,q2_7,50,ising,fast,50000,0.49868,0.055980459683481754,0.7518805470026564,"R=9,rot=XV"
3,Z,q2_7,70,ising,fast,50000,0.49766,0.03688611488662591,1.0782086739782244,"R=9,rot=XV"
3,Z,q2_7,90,ising,fast,50000,0.49702,0.027664575442620853,1.3952225810207892,"R=9,rot=XV"
3,Z,q2_7,110,ising,fast,50000,0.49954,0.03078911830346065,1.7235644729807973,"R=9,rot=XV"
