distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
3,X,q4_5,1,beliefmatching,-,50000,305,0.0061,0.006099999999999994,0.2416832479648292,
3,X,q4_5,10,beliefmatching,-,50000,3599,0.07198,0.007711817932188725,40.08981090201996,
3,X,q4_5,13,beliefmatching,-,50000,4731,0.09462,0.008003831322447752,67.97561550396495,
3,X,q4_5,30,beliefmatching,-,50000,9267,0.18534,0.007659318878881216,256.53779693483375,
3,X,q4_5,50,beliefmatching,-,50000,13765,0.2753,0.007934784253861793,529.8402126790024,
3,X,q4_5,70,beliefmatching,-,50000,16742,0.33484,0.00784982334002815,807.4201319438871,
3,X,q4_5,90,beliefmatching,-,50000,20490,0.4098,0.009424375005640695,1076.3004852798767,
3,X,q4_5,110,beliefmatching,-,50000,20553,0.41106,0.00778711520841735,1323.4561722551007,
3,X,q4_5,130,beliefmatching,-,50000,21711,0.43422,0.007740581805296853,1582.615898607066,
3,X,q4_5,150,beliefmatching,-,50000,22640,0.4528,0.007805808372137679,1819.486485205125,
3,X,q4_5,170,beliefmatching,-,50000,23053,0.46106,0.007451523072322941,2066.404044075869,
3,X,q4_5,190,beliefmatching,-,50000,23812,0.47624,0.007953444336029125,2316.053861560067,
3,X,q4_5,210,beliefmatching,-,50000,24071,0.48142,0.007778203652943905,2557.4696708919946,
3,X,q4_5,230,beliefmatching,-,50000,24104,0.48208,0.00718417200444571,2797.624504574109,
3,X,q4_5,250,beliefmatching,-,50000,24616,0.49232,0.008282608362142396,3044.223643630976,
