distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
3,Z,q6_11,1,beliefmatching,-,50000,211,0.00422,0.0042200000000000015,0.2351497528143227,
3,Z,q6_11,10,beliefmatching,-,50000,3558,0.07116,0.00761758665376977,40.02300041005947,
3,Z,q6_11,13,beliefmatching,-,50000,4937,0.09874,0.008390286367385258,66.54544150293805,
3,Z,q6_11,30,beliefmatching,-,50000,10152,0.20304,0.008608542075623504,272.7545971800573,
3,Z,q6_11,50,beliefmatching,-,50000,14745,0.2949,0.008832166199279345,548.8456347929314,
3,Z,q6_11,70,beliefmatching,-,50000,17852,0.35704,0.008863660420929897,823.6026246401016,
3,Z,q6_11,90,beliefmatching,-,50000,21478,0.42956,0.010770344340546745,1084.813922547968,
3,Z,q6_11,110,beliefmatching,-,50000,21398,0.42796,0.008729204955661096,1329.77307462506,
3,Z,q6_11,130,beliefmatching,-,50000,21991,0.43982,0.008077383153510476,1572.1478079711087,
3,Z,q6_11,150,beliefmatching,-,50000,22834,0.45668,0.008087195621109877,1823.7175774860661,
3,Z,q6_11,170,beliefmatching,-,50000,23716,0.47432,0.008656239253506337,2069.7968462619465,
3,Z,q6_11,190,beliefmatching,-,50000,24021,0.48042,0.008454286518664367,2318.6757417910267,
3,Z,q6_11,210,beliefmatching,-,50000,24224,0.48448,0.008199824753470142,2572.9133621968795,
3,Z,q6_11,230,beliefmatching,-,50000,24531,0.49062,0.008569257734528046,2811.8924529820215,
3,Z,q6_11,250,beliefmatching,-,50000,24607,0.49214,0.008237039666942336,3062.2584341659676,
