distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
3,X,q8_5,1,mwpm-rl,-,50000,271,0.00542,0.00541999999999998,0.002288450952619314,
3,X,q8_5,10,mwpm-rl,-,50000,3916,0.07832,0.008445921090493025,0.03810205706395209,
3,X,q8_5,13,mwpm-rl,-,50000,5064,0.10128,0.008630366973342518,0.050146126886829734,
3,X,q8_5,30,mwpm-rl,-,50000,13187,0.26374,0.012339764359276528,0.16428373591043055,
3,X,q8_5,50,mwpm-rl,-,50000,14868,0.29736,0.008950686996229196,0.20249821385368705,
3,X,q8_5,70,mwpm-rl,-,50000,19937,0.39874,0.011277421829263945,0.3571639531292021,
3,X,q8_5,90,mwpm-rl,-,50000,20444,0.40888,0.009369057348214915,0.38376869494095445,
3,X,q8_5,110,mwpm-rl,-,50000,22188,0.44376,0.009833737276540633,0.4992338069714606,
3,X,q8_5,130,mwpm-rl,-,50000,23029,0.46058,0.009675674207716867,0.5830913200043142,
3,X,q8_5,150,mwpm-rl,-,50000,23737,0.47474,0.009852912215388643,0.6722896920982748,
3,X,q8_5,170,mwpm-rl,-,50000,24013,0.48026,0.009415978128113678,0.7382964231073856,
3,X,q8_5,190,mwpm-rl,-,50000,24103,0.48206,0.008680541509448636,0.8490091708954424,
3,X,q8_5,210,mwpm-rl,-,50000,24578,0.49156,0.009624322984058742,1.044109077891335,
3,X,q8_5,230,mwpm-rl,-,50000,24911,0.49822,0.0121075082268981,1.3272874671965837,
3,X,q8_5,250,mwpm-rl,-,50000,24769,0.49538,0.009281204969854129,1.0858699090313166,
