distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
3,Z,q8_5,1,mwpm-rl,-,50000,165,0.0033,0.003300000000000025,0.002170833060517907,
3,Z,q8_5,10,mwpm-rl,-,50000,3350,0.067,0.007142019082866546,0.03929593204520643,
3,Z,q8_5,13,mwpm-rl,-,50000,4185,0.0837,0.006996811693756266,0.051744034979492426,
3,Z,q8_5,30,mwpm-rl,-,50000,16830,0.3366,0.018296939146698166,0.19320284412242472,
3,Z,q8_5,50,mwpm-rl,-,50000,14521,0.29042,0.008619858582498974,0.2210061219520867,
3,Z,q8_5,70,mwpm-rl,-,50000,16481,0.32962,0.00763100315857429,0.3282638438977301,
3,Z,q8_5,90,mwpm-rl,-,50000,19495,0.3899,0.00833649313493301,0.41130319610238075,
3,Z,q8_5,110,mwpm-rl,-,50000,20497,0.40994,0.007731115514671039,0.4918873109854758,
3,Z,q8_5,130,mwpm-rl,-,50000,21951,0.43902,0.00802740933602869,0.5933708909433335,
3,Z,q8_5,150,mwpm-rl,-,50000,24632,0.49264,0.013865932950920146,0.795489510986954,
3,Z,q8_5,170,mwpm-rl,-,50000,23130,0.4626,0.007568420781569274,0.7674838800448924,
3,Z,q8_5,190,mwpm-rl,-,50000,24385,0.4877,0.009655575209377043,0.9212338111829013,
3,Z,q8_5,210,mwpm-rl,-,50000,24028,0.48056,0.007672137027002812,0.9518274588044733,
3,Z,q8_5,230,mwpm-rl,-,50000,24106,0.48212,0.007188960089352436,1.0222021250519902,
3,Z,q8_5,250,mwpm-rl,-,50000,24398,0.48796,0.007397478816705827,1.1277135978452861,
