distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
3,Z,q4_5,1,mwpm,-,50000,200,0.004,0.0040000000000000036,0.002137723146006465,
3,Z,q4_5,10,mwpm,-,50000,3635,0.0727,0.00779469164949409,0.04595531104132533,
3,Z,q4_5,13,mwpm,-,50000,4511,0.09022,0.0075950954688771,0.05948842503130436,
3,Z,q4_5,30,mwpm,-,50000,9563,0.19126,0.007970924265949808,0.1434320209082216,
3,Z,q4_5,50,mwpm,-,50000,13674,0.27348,0.007855387436439543,0.24267637101002038,
3,Z,q4_5,70,mwpm,-,50000,16730,0.3346,0.00783961405982292,0.3345791809260845,
3,Z,q4_5,90,mwpm,-,50000,20686,0.41372,0.009666504817977095,0.4664458301849663,
3,Z,q4_5,110,mwpm,-,50000,20570,0.4114,0.0078042534381526085,0.5433694398961961,
3,Z,q4_5,130,mwpm,-,50000,22022,0.44044,0.008116568388244538,0.6281729359179735,
3,Z,q4_5,150,mwpm,-,50000,22941,0.45882,0.008253308561120443,0.7491056269500405,
3,Z,q4_5,170,mwpm,-,50000,23155,0.4631,0.007607405780362841,0.8365496860351413,
3,Z,q4_5,190,mwpm,-,50000,23882,0.47764,0.008110692423250077,0.9569098630454391,
3,Z,q4_5,210,mwpm,-,50000,24053,0.48106,0.007733221070510998,1.0828750350046903,
3,Z,q4_5,230,mwpm,-,50000,24130,0.4826,0.007247263821598848,1.173524697078392,
3,Z,q4_5,250,mwpm,-,50000,24566,0.49132,0.008041800683956046,1.2828015899285674,
