distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
3,X,q10_7,1,mwpm,-,20000,74,0.0037,0.003699999999999981,0.0009841539431363344,
3,X,q10_7,10,mwpm,-,20000,1795,0.08975,0.009794857538269586,0.026753625832498074,
3,X,q10_7,13,mwpm,-,20000,2341,0.11705,0.010153326064803181,0.03654268104583025,
3,X,q10_7,30,mwpm,-,20000,4816,0.2408,0.010831100646060576,0.08814138290472329,
3,X,q10_7,50,mwpm,-,20000,6608,0.3304,0.010695599888399077,0.1501519400626421,
3,X,q10_7,70,mwpm,-,20000,7720,0.386,0.010449334816351463,0.21207252494059503,
3,X,q10_7,90,mwpm,-,20000,8527,0.42635,0.010528045778170014,0.27027006493881345,
3,X,q10_7,110,mwpm,-,20000,9079,0.45395,0.010723696321882747,0.33366161212325096,
3,X,q10_7,130,mwpm,-,20000,9367,0.46835,0.010503001797284361,0.39666853309608996,
3,X,q10_7,150,mwpm,-,20000,9724,0.4862,0.011824404302186897,0.4536350858397782,
3,X,q10_7,170,mwpm,-,20000,9705,0.48525,0.01025618793502886,0.5140580390579998,
3,X,q10_7,190,mwpm,-,20000,9898,0.4949,0.011922314415307667,0.5892593699973077,
3,X,q10_7,210,mwpm,-,20000,9844,0.4922,0.00980843282828181,0.6450914859306067,
3,X,q10_7,230,mwpm,-,20000,9736,0.4868,0.007838754648502477,0.7106275320984423,
3,X,q10_7,250,mwpm,-,20000,9969,0.49845,0.011420263322498125,0.7680269759148359,
