distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
7,Z,q6_7,1,mwpm,-,20000,2,0.0001,9.999999999998899e-05,0.007139924913644791,
7,Z,q6_7,10,mwpm,-,20000,515,0.02575,0.0026366977671170577,0.2494215969927609,
7,Z,q6_7,13,mwpm,-,20000,720,0.036,0.0028657385732417384,0.3343687900342047,
7,Z,q6_7,30,mwpm,-,20000,1713,0.08565,0.0031218312643090385,0.8405682418961078,
7,Z,q6_7,50,mwpm,-,20000,2721,0.13605,0.0031658509078861252,1.4313766029663384,
7,Z,q6_7,70,mwpm,-,20000,3613,0.18065,0.003192055907255964,2.0452024138066918,
7,Z,q6_7,90,mwpm,-,20000,4331,0.21655,0.0031432580896102458,2.811077786143869,
7,Z,q6_7,110,mwpm,-,20000,5098,0.2549,0.0032301654556442516,3.405714739812538,
7,Z,q6_7,130,mwpm,-,20000,5769,0.28845,0.003297336156755093,3.997540447860956,
7,Z,q6_7,150,mwpm,-,20000,6221,0.31105,0.0032332530170643414,4.752900858176872,
7,Z,q6_7,170,mwpm,-,20000,6694,0.3347,0.0032448548275187394,5.581099940929562,
7,Z,q6_7,190,mwpm,-,20000,7085,0.35425,0.003233486827506571,6.4099066101480275,
7,Z,q6_7,210,mwpm,-,20000,7414,0.3707,0.003209826072246069,6.940484415041283,
7,Z,q6_7,230,mwpm,-,20000,7732,0.3866,0.003215024975697034,7.788036169018596,
7,Z,q6_7,250,mwpm,-,20000,8020,0.401,0.0032285081445246333,8.510883592069149,
