distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
5,Z,q6_9,1,mwpm,-,20000,4,0.0002,0.00019999999999997797,0.0015353530179709196,
5,Z,q6_9,10,mwpm,-,20000,65,0.00325,0.00032595455694217623,0.03259740793146193,
5,Z,q6_9,13,mwpm,-,20000,67,0.00335,0.00025849261087124153,0.043082492891699076,
5,Z,q6_9,30,mwpm,-,20000,159,0.00795,0.0002670580059024874,0.10584790096618235,
5,Z,q6_9,50,mwpm,-,20000,311,0.01555,0.0003158389196603606,0.1808094910811633,
5,Z,q6_9,70,mwpm,-,20000,397,0.01985,0.00028927017146734846,0.2601699058432132,
5,Z,q6_9,90,mwpm,-,20000,515,0.02575,0.0002936553416896803,0.33282167185097933,
5,Z,q6_9,110,mwpm,-,20000,637,0.03185,0.0002990893327786681,0.42788684903644025,
5,Z,q6_9,130,mwpm,-,20000,749,0.03745,0.000299346660429578,0.47766711097210646,
5,Z,q6_9,150,mwpm,-,20000,811,0.04055,0.0002818471205865425,0.5633305429946631,
5,Z,q6_9,170,mwpm,-,20000,983,0.04915,0.0003042409542182156,0.705411366885528,
5,Z,q6_9,190,mwpm,-,20000,1089,0.05445,0.0003033253890163956,0.7206871150992811,
5,Z,q6_9,210,mwpm,-,20000,1160,0.058,0.00029348101694665063,0.8439254760742188,
5,Z,q6_9,230,mwpm,-,20000,1252,0.0626,0.0002906980492226041,0.8744267600122839,
5,Z,q6_9,250,mwpm,-,20000,1426,0.0713,0.0003076067888735934,0.9732017368078232,
