distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
3,Z,q8_9,1,mwpm,-,20000,109,0.00545,0.00545000000000001,0.0010338518768548965,
3,Z,q8_9,10,mwpm,-,20000,1958,0.0979,0.010777512839039327,0.02555723488330841,
3,Z,q8_9,13,mwpm,-,20000,2283,0.11415,0.009868971952976147,0.03425587993115187,
3,Z,q8_9,30,mwpm,-,20000,4779,0.23895,0.010715121334148814,0.0769088389351964,
3,Z,q8_9,50,mwpm,-,20000,6420,0.321,0.01016742327259229,0.1296281390823424,
3,Z,q8_9,70,mwpm,-,20000,7826,0.3913,0.010782162615733615,0.19074029894545674,
3,Z,q8_9,90,mwpm,-,20000,8807,0.44035,0.011673319036361929,0.24999819812364876,
3,Z,q8_9,110,mwpm,-,20000,9059,0.45295,0.010628130868458041,0.31232031201943755,
3,Z,q8_9,130,mwpm,-,20000,9387,0.46935,0.010623875633346935,0.3662702040746808,
3,Z,q8_9,150,mwpm,-,20000,9709,0.48545,0.011652137749070035,0.4295966629870236,
3,Z,q8_9,170,mwpm,-,20000,9780,0.489,0.011100549072448784,0.4966629969421774,
3,Z,q8_9,190,mwpm,-,20000,9770,0.4885,0.009829106362251872,0.5257589668035507,
3,Z,q8_9,210,mwpm,-,20000,9837,0.49185,0.009705962293129589,0.6477340410929173,
3,Z,q8_9,230,mwpm,-,20000,9831,0.49155,0.008792302390452644,0.6808912539854646,
3,Z,q8_9,250,mwpm,-,20000,9922,0.4961,0.0096136390019535,0.7744784411042929,
