distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
5,X,q8_7,1,mwpm,-,20000,2,0.0001,9.999999999998899e-05,0.0009769080206751823,
5,X,q8_7,10,mwpm,-,20000,1428,0.0714,0.007645149742659396,0.12035431200638413,
5,X,q8_7,13,mwpm,-,20000,1939,0.09695,0.008221936906903038,0.16201997501775622,
5,X,q8_7,30,mwpm,-,20000,4306,0.2153,0.009298649662863756,0.4101400978397578,
5,X,q8_7,50,mwpm,-,20000,6134,0.3067,0.00941389734646142,0.6914998369757086,
5,X,q8_7,70,mwpm,-,20000,7417,0.37085,0.009575925062641877,0.9690844060387462,
5,X,q8_7,90,mwpm,-,20000,8365,0.41825,0.009960246484530644,1.2728449800051749,
5,X,q8_7,110,mwpm,-,20000,8950,0.4475,0.010140285284662098,1.5838257491122931,
5,X,q8_7,130,mwpm,-,20000,9183,0.45915,0.009541255928846415,1.9020423809997737,
5,X,q8_7,150,mwpm,-,20000,9516,0.4758,0.009992974550566247,2.2636772498954087,
5,X,q8_7,170,mwpm,-,20000,9710,0.4855,0.010305431888279926,2.581984654068947,
5,X,q8_7,190,mwpm,-,20000,9728,0.4864,0.009396216302878402,2.9790840100031346,
5,X,q8_7,210,mwpm,-,20000,9820,0.491,0.00947428648349885,3.2607625850941986,
5,X,q8_7,230,mwpm,-,20000,9929,0.49645,0.010640921895333388,3.5604591639712453,
5,X,q8_7,250,mwpm,-,20000,9897,0.49485,0.009067986472172829,3.916888505918905,
