distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
5,Z,q4_7,1,mwpm,-,20000,1,5e-05,4.999999999999449e-05,0.0010130589362233877,
5,Z,q4_7,10,mwpm,-,20000,1434,0.0717,0.0076796231444661855,0.11951011512428522,
5,Z,q4_7,13,mwpm,-,20000,1931,0.09655,0.008184411274512637,0.16466414486058056,
5,Z,q4_7,30,mwpm,-,20000,4149,0.20745,0.008853551937273385,0.4046198329888284,
5,Z,q4_7,50,mwpm,-,20000,5989,0.29945,0.009052494666355992,0.7059062230400741,
5,Z,q4_7,70,mwpm,-,20000,7436,0.3718,0.009627647887988311,1.0060700511094183,
5,Z,q4_7,90,mwpm,-,20000,8158,0.4079,0.00931073626655271,1.2901372290216386,
5,Z,q4_7,110,mwpm,-,20000,8773,0.43865,0.009446054480931443,1.5936272898688912,
5,Z,q4_7,130,mwpm,-,20000,9072,0.4536,0.009060398566979766,1.921815040986985,
5,Z,q4_7,150,mwpm,-,20000,9579,0.47895,0.010448312828216288,2.275984543841332,
5,Z,q4_7,170,mwpm,-,20000,9686,0.4843,0.010076339344659568,2.5203801840543747,
5,Z,q4_7,190,mwpm,-,20000,9807,0.49035,0.010281374647112651,2.85855879005976,
5,Z,q4_7,210,mwpm,-,20000,9806,0.4903,0.00929929805170554,3.2033107990864664,
5,Z,q4_7,230,mwpm,-,20000,9953,0.49765,0.011517858754000243,3.5397240619640797,
5,Z,q4_7,250,mwpm,-,20000,9848,0.4924,0.00830320361185255,3.890678676078096,
